Axial Length in Strigiformes (mm),Podagidae (mm),Aegothelidae (mm),Nyctibdae (mm),Caprimulgidae (mm),Falconiformes (mm),Accipidrae (mm),Apodiformes (mm),Psittaciformes (mm),Columbiformes (mm),Struthioniformes (mm)
18.27,20.23,9.27,19.24,12.06,11.98,15.08,8.68,10.57,8.28,38
17.11,,,,12.95,16.81,,5.92,13.34,7.3,
18.05,,,,11.42,,,7.17,10.9,9.84,
16.8,,,,11.85,,,9.96,7.98,8.87,
11.92,,,,18.41,,,10,7.74,8.33,
23.03,,,,9.58,,,7.59,9.57,8.87,
33.03,,,,12.25,,,8.34,8.59,8.83,
33.95,,,,12.36,,,8.26,10.26,10.46,
24.96,,,,14.64,,,3.37,,9.39,
13.78,,,,10.33,,,7.02,,,
20.04,,,,,,,4.56,,,
17.24,,,,,,,4.45,,,
17.89,,,,,,,8.44,,,
17.8,,,,,,,,,,
