Axial Length of Chameleonidae (mm),Axial Length of Cordylidae (mm),Axial Length Eubepharidae (mm),Axial Length in Geckonidae (mm),Axial Length in Gerrhosauridae (mm),Axial Length in Helpdermatidae (mm),Axial Length in Iguanidae (mm),Axial Length in Lacertidae (mm),Axial Length in Scincidae (mm),Axial Length in Telldae (mm),Axial Length in Xantuslldae (mm),Axial Lenth in Rychocephalia (mm)
6,2.93,6.71,4.62,6.01,8.23,7.04,3.33,5.4,12.01,2.69,14.96
3.45,4.85,4.55,2.59,,,7.72,4.12,5.15,9,2.97,
7.73,4.19,,11.59,,,4.39,2.6,8.01,,4.91,
7.73,5.33,,8.07,,,9.51,2.85,6.44,,1.72,
7.39,3.78,,3.33,,,7.61,3.9,3.44,,,
5.58,,,3.63,,,3.32,4.06,4.32,,,
6.72,,,3.43,,,6.1,3.51,2.54,,,
6.39,,,2.83,,,7.84,4.76,,,,
,,,4.36,,,6.84,5.07,,,,
,,,4.48,,,5.74,2.89,,,,
,,,3.26,,,7.86,3.9,,,,
,,,3.26,,,8.65,3.99,,,,
,,,2.23,,,6.03,4.69,,,,
,,,5.02,,,8.98,3.42,,,,
,,,4.6,,,5.76,2.99,,,,
,,,5.08,,,7.88,2.94,,,,
,,,4.13,,,4.38,3.24,,,,
,,,4.03,,,6.28,3.04,,,,
,,,2.49,,,7.18,,,,,
,,,4.12,,,5.37,,,,,
,,,3.81,,,6.76,,,,,
,,,3.59,,,5.05,,,,,
,,,4.22,,,8.79,,,,,
,,,,,,7.26,,,,,
